VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD_CSI,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,TRANSACTION_CNTR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE
1HCFDHE86SZ274242,13023,"GAINED ACCESS AND REMOVED OLD STEERING WHEEL AFTER DISCONNECTING BATTERY NEGATIVE. INSTALLED NEW STEERING WHEEL, APPLIED LOCTITE TOBOLT THAT RETAINS STEERING WHEEL. TIGHTED BOLT. RE INSTALLED AIR BAG, RE INSTALLED TRIM. RE CONNECTED BATTERY, CHECKED FOR ANYPROTRUDING FROM STEERING WHEEL MOLDING, ALL OK NOW GM AUTHORIZATION# 490759800000",C/S: REMOVED STEERING WHEEL TO GAIN ACCESS TO BACK SIDE OF STEERING WHEEL WHERE TRIM IS THAT IS PROTRUDING AND REPLACED TRIM ANDSTILL IS PRETRUDING. ISSUE IS IN STEERING WHEEL ASSEMBLY reference ro# 82289 -- GM AUTHORIZATION# 490759800000,01/09/2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,BlueSky Autos,PALMYRA,13-15377/118088,Platinum Wheels,PALMYRA,PA,1,170781909,8,"6,204",0,0-0890,T03.0354,US,13,NE1,FUB,130,FREG,476.16,,63.99,LZ0,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2212221MFTX0298,17749294.0,R2212281CNJX0022,2809222210,6,1,N,CF10543,1500,10.0,0,1
1HYKNDRS3MZ177921,13027,TECH REPLACED STEERING WHEEL TO CORRECT PRA 487188600000,C/S: CUSTOMER STATES THERE IS A PIECE OF THE STEERING WHEEL STICKING UP. SOP PART IS IN,01/10/2024,WHEEL ASM-STRG *DARK TITANIU,Steering Wheel Replacement,Global Crossover Vehicles,4 Door Utility,C1UL,SHT,US,Quantum Auto Sales,DAYTON,12-20769/119037,Redline Auto Co.,CINCINNATI,OH,1,452426498,35,"70,354",0,0-0310,T03.6151,US,12,FE9,FTB,130,FREG,322.13,322.13,53.46,LGX,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2",M3W,"TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",37749264,W2220292JDPX0477,822972980.0,21220220KKBP0881,2809492824,4,1,Y,6NH26,Premium Luxury,37.0,0,1
1HYKSMRK4SZ001121,13025,REPLACED STEERING WHEEL ASMY,(INSTALL SPECIAL ORDER PART) CUSTOMER STATES THE RIGHT SIDE STEERING WHEEL SUPER CRUISE PLASTIC COVER IS LIFTING UP AND NOT SECURE.PRA 491752600000,01/10/2024,WHEEL ASM-STRG *BACKEN BLACKK,Steering Wheel Replacement,BEV,4 Door Utility,L233-LSOP,SHT,US,Velocity Auto Group,LAS VEGAS,13-20095/114568,LuxeCar Dealership,ONTARIO,CA,1,917644452,6,"12,628",0,0-0312,T00.0006,US,12,YF5,FF6,130,FREG,"1,414.83",1414.83,95.5,EN0,NONE,MF1,NONE,Unknown,Unknown,8042172.0,Unknown,2809291177,6,1,N,6MB26,Lux-1,10.0,0,1
1H6DS5RK6S0127345,13025,Replaced heated steering wheel,Customer states heated steering wheel isnt working,01/10/2024,WHEEL ASM-STRG *BLACK,Steering Wheel Replacement,Luxury Car-3,4 Door Sedan,A2LL,LGR,US,Redwood Motor Co.,JONESBORO,13-17211/111427,CityStar Motors,POPLAR BLUFF,MO,1,639015525,12,"19,743",0,0-0310,V02.0041,US,12,FE9,FTB,130,FREG,562.5,562.5,85.86,LSY,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3",MQ2,"BYT 10 SPD, 10L60, GEN 1, ATSS, ETRS, VAR 1",830107152,N1221292JU7X2198,287827.0,S1221112QRJX2178,2809244294,20,1,Y,6DC79,Luxury,10.0,0,1
1HC4YSEY3RF110164,13023,CHECKED AND VERIFIED CUSTOMER CONCERN AND FOUND TRIM PIECE LOOSE REMOV ED REPLACED TRIM PIECE ON THE BACK OF THE PASSENGER SIDE OFSTEERING W HEEL COMPLETE,CUSTOMER STATES STEERING WHEEL CONROL PASSENGER SIDE REAR ON THE STEER ING WHEEL IS LOOSE SOP PART,01/10/2024,COVER-STRG WHL AIRBAG ACC HOLE *JET BLACK,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1CCH,FLT,US,Titan Cars,CORTLAND,13-28690/113578,Velocity Vehicle Sales,CORTLAND,OH,1,444101448,9,"17,675",0,0-0316,D06.6385,US,13,NE1,FUM,50,FREG,63.1,63.1,61.27,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2210714JFHX0992,8042172.0,Y0210111MKFX0928,2809282189,2,1,N,CF20743,2500,16.0,0,1
1HKS1JKL0SR282668,13024,"VERIFIED CUSTOMER CONCERN ABOUT A HORN INOP. I FOLLOWED DOCUMENT 4374183 TO DIAGNOSE THIS CONCERN. I MONITORED SCAN TOOL DATA FORTHE HORN ACTIVATION WHILE PRESSING THE HORN AND IT WAS CHANGING INTERMITTENTLY. I THEN TESTED CIRCUITS 3287 AT THE STEERING WHEELFOR A SHORT AND ALL WAS OK, I THEN TESTED CIRCUIT 6051 AND GROUND CIRCUIT HAD NO HIGH RESISTANCE. I THEN TESTED TERMINAL TENSION ONTHE STEERING WHEEL HARNESS AND FOUND LOOSE TENSION ON THE HORN CONNECTION AND REQUIRED A HARNESS REPLACEMENT I THEN REPLACED THESTEERING WHEEL HARNESS. AFTER REPAIRS, THE VEHICLE IS NOW HONKING AS DESIGNED",CUSTOMER STATES CK HORN ON THE STEERING WHEEL ONLY WORKS IN THE MIDDLE ON THE SIDE IT DOES NO WORK,01/11/2024,HARNESS ASM-STRG WHL HORN SW WRG,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Utility,4 Door Utility,T1YGF,ARL,US,UrbanCar Dealership,RIO GRANDE CITY,13-30014/114870,Crestwood Auto,RIO GRANDE CITY,TX,1,785824821,10,"21,295",0,0-0310,T06.2375,US,48,FE9,FTB,20,FREG,275.55,,202.67,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",249196973,K2210291MFYX0999,287827.0,S2210212CCJX0718,2809298492,2,1,N,TC10906,1500,10.0,0,1
1HC4Y9EY2MF192148,13026,Steering Wheel Replacement,�������� ������ ����������,01/11/2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCH,FLT,US,Regal Ride Motors,LOD,72-73421/159921,GoldenRoad Motors,KIRYAT GAT,Unknown,4,Unknown,33,"107,905",0,0-0890,D06.6385,IL,72,FE9,FTB,130,FREG_POL,221.83,221.83,28,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2220282JRHX0409,8042172.0,Y0220280MKFX0292,2809489112,2,1,N,CF20743,2500,18.0,0,4
1H1FZ6S00N4109597,13025,"REPLACE STEERING WHEEL CHECK OK 1699-,0130","HEATED STEERING WHEEL INOP. WHEN YOU HIT THE BUTTON ON IT TURNS OFF IMMEDIATELY. WHEN REMOTE STARTING IT, IT WILL TURN LIGHT ON BUTNEVER HEAT UP. - RO 6124563 - RO 6126117 - DAVE - PRA #495554400000",01/11/2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Global Gamma,4 Door Sedan,C121,ORI,US,Capital Car Dealers,DAVISON,13-44014/115093,TrueDrive Auto,CLARKSTON,MI,1,48348,17,"42,079",0,0-0890,V00.0002,US,13,FE9,FT7,130,FREG,411.47,457.47,62.02,EN0,NONE,MMF,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",Unknown,Unknown,8042172.0,Unknown,2809122794,4,1,N,1FG48,Premier,21.0,0,1
1HNEVKKW6SJ216435,13025,INSTALLED SPECIAL ORDERED STEERING WHEEL DUE TO THREADS FRAYING ON WHE EL 0130 .4 629,STEERING WHEEL FRAYING PARTS ARE IN,01/11/2024,WHEEL ASM-STRG * JET BLACK,Steering Wheel Replacement,Crossover SUV,4 Door Utility,C1YC,DEL,US,Prestige Wheels,SAGINAW,13-44196/300736,Titan Motors Group,SAGINAW,MI,1,486031297,10,"17,774",0,0-0890,T03.6151,US,13,FE9,FTB,130,FREG,395.44,395.44,50.27,LFY,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+",M3V,"BYT 9 SPD, 9T65, GEN 1",K,210490972,822972980.0,21210129IKBP0429,2809298112,4,1,N,1NX56,Premier,21.0,0,1
1HR49WEY2NF322460,13024,"Reconnected horn checked operation, ok.",Added Operation horn doesnt work hasnt worked since brand new Tech Cause horn connector not fully seated on harn assembly anddisconnected Tech Comments Reconnected horn checked operation ok,01/11/2024,Unknown,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1CGH,FLT,US,GoldStar Autos,EDMONTON,14-82489/320243,BlueSky Auto Sales,EDMONTON,AB,1,T5E4C7,20,"34,161",0,0-0621,D06.6385,CA,14,FE9,FTB,20,FREG,30.09,31.6,31.6,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2222412MU9X0781,8042172.0,Y0222190MKFX0498,2809222282,2,1,N,TF30743,3500,18.0,0,1
3HRFFCER3NH528824,13025,"PRA APPROVED, PRA #495794600000 FOUND THE STEERING WHEEL TO BE COMING APART. REPLACED THE STEERING WHEEL. VERIFIED REPAIR.",CUSTOMER STATES STITCHING ON STEERING WHEEL IS COMING UNDONE ON THE RI GHT SIDE,01/11/2024,WHEEL ASM-STRG *BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,Infinite Motors,HENDERSON,11-11457/116555,MetroMax Motors,DALLAS,TX,1,752093016,22,"34,260",0,0-0890,T03.0353,US,48,FE9,FTB,130,FREG,621.34,621.34,107.28,LM2,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2220472CVCX0021,287827.0,S1220791CNJX0210,2809294191,4,1,N,TF10543,1500,10.0,0,1
1HYKNDR46NZ151056,13025,replaced steering wheel trim ring,customer states chrome trim on steering wheel is cracked,01/12/2024,COVER-STRG WHL SPOKE *LINEAR GALAXD,Steering Wheel Spoke Cover Replacement,Global Crossover Vehicles,4 Door Utility,C1UL,SHT,US,Platinum Auto Co.,INDIANA,12-20573/117099,Crystal Drive Auto,INDIANA,PA,1,157012061,21,"24,129",0,0-0313,T02.0500,US,12,NE1,FUG,50,FREG,386.62,386.62,51.75,LSY,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3",M3G,"BYT 9 SPD, 9T60, ETRS GEN 1",830107152,N2220942JUHX0982,822972980.0,21220170VHBP0421,2809179492,26,1,N,6NH26,Premium Luxury,10.0,0,1
1HNEVNKW4SJ144359,13025,LEATHER PULLING AWAY FROM WHEEL 0130 0.40 REPLACEDSTEERING WHEEL PRE AUTH 488737400000,CUSTOMER STATES THE LEATHER ON STEERING WHEEL IS COMING APART - SOPHERE,01/12/2024,WHEEL ASM-STRG * JET BLACK,Steering Wheel Replacement,Crossover SUV,4 Door Utility,C1YC,DEL,US,SwiftCar Traders,WEATHERFORD,13-07367/112288,EliteStreet Motors,WEATHERFORD,TX,1,760878773,15,"35,914",0,0-0312,T03.6151,US,13,Unknown,FTB,130,FREG,436.5,436.5,56.87,LFY,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+",M3V,"BYT 9 SPD, 9T65, GEN 1",K,222940921,822972980.0,22222109IKBP2899,2809184401,4,1,Y,1NX56,High Country,10.0,0,1
3HRS9EED0LH255650,13025,"Steering Wheel Spoke Cover, PER GOODWILL ASSISTANCE, CUSTOMER HAS A DEDUCTIBLE OF $86.45",CUSTOMER STATES THE STEERING WHEEL BEZEL IS PEELING.,01/12/2024,APPLIQUE ASM-STRG WHL TR SPOKE CVR *VULCAN,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,NextGen Motors,VALDOSTA,13-26192/159183,LibertyRide Auto,VALDOSTA,GA,1,316026802,47,"59,192",0,0-0890,LGMXT05.3386,US,48,FE9,FTB,50,FREG_POL,214.4,214.4,78,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MQB,"BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",812040194,A2200220HGUX2088,287827.0,S2200210BKJX2982,2809182089,8,1,Y,TF10543,1500,10.0,0,1
1HKS2JKR2NR336997,13073,replaced steering wheel no further action required.,CUSTOMER STATES STEERING WHEELS STICHING COMING APART,01/12/2024,WHEEL ASM-STRG *VERY DARK AT,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1YGF,ARL,US,Liberty Drive,MIAMI,13-26329/312777,Highlander Car Sales,HOMESTEAD,FL,1,330341829,18,"32,616",0,0-0890,T03.0353,US,48,FE9,FTB,130,FREG,454.63,454.63,73.62,LM2,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2222922CVCX0009,287827.0,S1222471CNJX0228,2821704292,8,1,N,TF10906,1500,10.0,0,1
1HCFDEED3SZ308171,13037,Replaced steering wheel,WRAP ON THE STEEERING WHEEL IS PEELING ***NEED PRA DONE BY MANAGEMENT****,01/12/2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,DreamCars Auto,GRAND FORKS,13-04703/111708,HorizonView Auto,GRAND FORKS,ND,1,582016720,4,"8,678",0,0-0312,T05.3386,US,13,FE9,FTB,130,FREG,456.98,456.98,69.06,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",2127157,T2212491MF1X0970,17749294.0,R2210822CKJX0278,2820422129,4,1,Y,CF10543,1500,10.0,0,1
